,Time,Extension,Load,Elastic Modulus
,(sec),(mm),(N),
,,,,
624,31.2,-5.19985,-6.29735,
625,31.25,-5.20812,-6.30185,
626,31.3,-5.21665,-6.30598,
627,31.35,-5.22492,-6.30735,
628,31.4,-5.23305,-6.31621,
629,31.45,-5.24159,-6.31431,
630,31.5,-5.25012,-6.32334,
631,31.55,-5.25825,-6.32372,
632,31.6,-5.26665,-6.33058,
633,31.65,-5.27505,-6.33061,
634,31.7,-5.28332,-6.33761,
635,31.75,-5.29159,-6.33845,
636,31.8,-5.30012,-6.34546,
637,31.85,-5.30852,-6.34693,
638,31.9,-5.31652,-6.35308,
639,31.95,-5.32492,-6.34944,
640,32.0,-5.33332,-6.35712,
641,32.05,-5.34145,-6.35622,
642,32.1,-5.34972,-6.36328,
643,32.15,-5.35812,-6.36315,
644,32.2,-5.36639,-6.37028,
645,32.25,-5.37465,-6.37097,
646,32.3,-5.38319,-6.37767,
647,32.35,-5.39159,-6.37942,
648,32.4,-5.39999,-6.38548,
649,32.45,-5.40825,-6.38615,
650,32.5,-5.41665,-6.39197,
651,32.55,-5.42505,-6.39102,
652,32.6,-5.43332,-6.39865,
653,32.65,-5.44145,-6.39757,
654,32.7,-5.44999,-6.40403,
655,32.75,-5.45839,-6.40474,
656,32.8,-5.46652,-6.40961,
657,32.85,-5.47492,-6.40836,
658,32.9,-5.48345,-6.4169,
659,32.95,-5.49159,-6.41544,
660,33.0,-5.49972,-6.42104,
661,33.05,-5.50839,-6.41899,
662,33.1,-5.51665,-6.42846,
663,33.15,-5.52492,-6.4253,
664,33.2,-5.53345,-6.43192,
665,33.25,-5.54172,-6.43152,
666,33.3,-5.55012,-6.43703,
667,33.35,-5.55839,-6.43548,
668,33.4,-5.56665,-6.4403,
669,33.45,-5.57505,-6.43934,
670,33.5,-5.58345,-6.44584,
671,33.55,-5.59159,-6.44277,
672,33.6,-5.60012,-6.44787,
673,33.65,-5.60839,-6.44733,
674,33.7,-5.61639,-6.45113,
675,33.75,-5.62492,-6.4491,
676,33.8,-5.63332,-6.45536,
677,33.85,-5.64145,-6.45248,
678,33.9,-5.64999,-6.45955,
679,33.95,-5.65852,-6.45558,
680,34.0,-5.66665,-6.46282,
681,34.05,-5.67479,-6.45882,
682,34.1,-5.68345,-6.46399,
683,34.15,-5.69172,-6.46318,
684,34.2,-5.69985,-6.46568,
685,34.25,-5.70839,-6.46639,
686,34.3,-5.71665,-6.46965,
687,34.35,-5.72492,-6.46828,
688,34.4,-5.73332,-6.47186,
689,34.45,-5.74159,-6.47134,
690,34.5,-5.74985,-6.4749,
691,34.55,-5.75825,-6.4741,
692,34.6,-5.76639,-6.4779,
693,34.65,-5.77479,-6.47682,
694,34.7,-5.78332,-6.48208,
695,34.75,-5.79159,-6.48267,
696,34.8,-5.79985,-6.48373,
697,34.85,-5.80839,-6.48654,
698,34.9,-5.81679,-6.4879,
699,34.95,-5.82492,-6.48933,
700,35.0,-5.83345,-6.49038,
701,35.05,-5.84172,-6.49278,
702,35.1,-5.84972,-6.4917,
703,35.15,-5.85812,-6.49429,
704,35.2,-5.86665,-6.49557,
705,35.25,-5.87492,-6.49786,
706,35.3,-5.88319,-6.49871,
707,35.35,-5.89172,-6.50257,
708,35.4,-5.89985,-6.4992,
709,35.45,-5.90812,-6.50665,
710,35.5,-5.91665,-6.50259,
711,35.55,-5.92505,-6.509,
712,35.6,-5.93332,-6.50724,
713,35.65,-5.94159,-6.51412,
714,35.7,-5.94999,-6.50892,
715,35.75,-5.95839,-6.51765,
716,35.8,-5.96679,-6.51397,
717,35.85,-5.97492,-6.52077,
718,35.9,-5.98345,-6.51661,
719,35.95,-5.99172,-6.52504,
720,36.0,-5.99972,-6.52087,
721,36.05,-6.00825,-6.52695,
722,36.1,-6.01665,-6.52435,
723,36.15,-6.02479,-6.533,
724,36.2,-6.03305,-6.52416,
725,36.25,-6.04159,-6.54022,
726,36.3,-6.04972,-6.52824,
727,36.35,-6.05799,-6.54158,
728,36.4,-6.06665,-6.53696,
729,36.45,-6.07505,-6.54609,
