Time	Sample     	Program Temperature	Frequency     	Raw Dynamic	Raw Static	In-Phase     	Out-Of-Phase	Zero Displacement	Min Displacement	Max Displacement	Spring     	C*     	Measured     	Corrected     	Corrected     	Stiffness*	Total     	Stiffness     	Inertia     	Sample     	Ratio of     	Total     	Sample     	Total Applied	Static Force	Static     	Static Displacement	Static Displacement Corrected	Static Stress	Static     	Static Strain	Static     	Dynamic Force	Displacement	Dynamic     	Dynamic     	Storage Modulus	Loss Modulus	Tan Delta	Loss Viscosity	Storage     	Complex     	Shear Storage	Shear Loss	Complex     	Shear Complex 
          	Temperature		          	Force     	Force     	Angle     	Angle     	               	               	               	Stiffness     	          	Tan Delta     	Total Tan Delta	Total Delta	          	Stiffness'	Less Spring	          	Stiffness'	Sample to Total	Stiffness''	Stiffness''	Static Force	          	Force Corrected	Displacement	Displacement Co	          	Stress Correcte	          	Strain Correcte	          	Amplitude     	Stress     	Strain     		          	          	               	Viscosity     	Viscosity     	Modulus     	Modulus     	Modulus     	Modulus      
3.813946	101.8375	101.627892	1.000001	171	2174	598846.125	108918.875	40945313.125	38938.5	40809.125	0.000045	608670.684984	0.181881	0.168756	0.167181	14726.062064	14554.239904	12205.288006	1.863819	12207.151825	0.838628	2462.115629	2460.723821	0.66215	0.99072	0.011654	0.139879	0.001648	268691.753706	3160.608547	0.023993	0.000283	0.373842	0.02979	101389.165705	0.00511	19301284.210058	3890762.60409	0.201581	619233.610303	3071892.35661	3133683.601566	7148623.781503	1441023.1867	19689530.360037	7292418.651866
3.942384	102.1	101.884768	1.000001	171	2174	598980.5	109079	40944645.75	38930.25	40806.125	0.000045	608831.559318	0.182108	0.168982	0.1674	14722.17093	14549.84268	12200.88031	1.863819	12202.744128	0.838578	2464.659631	2463.267816	0.66215	0.990771	0.011705	0.1399	0.001627	268705.598976	3174.453817	0.023997	0.000279	0.37382	0.029797	101383.183256	0.005111	19294315.00002	3894785.031691	0.201862	619873.799032	3070783.173261	3132722.908894	7146042.5926	1442512.9747	19683494.145174	7290183.016731
4.070824	102.2875	102.141649	1.000001	171	2174	599107.875	108634.375	40943546.875	38935.75	40805.625	0.000045	608877.387754	0.181327	0.168204	0.166644	14721.062835	14550.612588	12201.632971	1.863819	12203.496789	0.838586	2453.449754	2452.057929	0.66215	0.990855	0.011789	0.139935	0.001592	268728.396441	3197.251281	0.024003	0.000273	0.373823	0.029803	101384.072464	0.005112	19295505.066882	3877060.568265	0.200931	617052.865299	3070972.578135	3132351.642812	7146483.358104	1435948.358617	19681161.409735	7289319.040643
4.205244	102.525	102.410489	1.000001	171	2174	599037.125	108512.875	40942391.625	38942.375	40804.25	0.000045	608786.104612	0.181145	0.168024	0.166469	14723.270153	14553.232192	12204.234439	1.863819	12206.098258	0.838613	2451.257383	2449.865548	0.66215	0.990944	0.011877	0.139972	0.001556	268752.363949	3221.218789	0.024009	0.000267	0.373836	0.029799	101387.434077	0.005111	19299618.367034	3873594.094201	0.200708	616501.159254	3071627.229668	3132884.855432	7148006.802605	1434664.479334	19684511.686089	7290559.883737
4.333945	102.7875	102.667889	1.000001	171	2174	599226.25	108317.5	40941138	38934	40807.75	0.000045	608937.418373	0.180762	0.167642	0.166098	14719.611594	14550.520208	12201.502773	1.863819	12203.366591	0.838582	2445.233877	2443.842029	0.66215	0.99104	0.011973	0.140011	0.001516	268778.372957	3247.227797	0.024016	0.00026	0.373822	0.029809	101383.634393	0.005113	19295299.204194	3864070.034377	0.20026	614985.359255	3070939.814096	3131912.887342	7146407.112664	1431137.049769	19678404.625628	7288298.009492
4.461605	103.05	102.923211	1.000001	171	2174	599547.5	108209	40939859.25	38928.125	40802.875	0.000045	609234.267287	0.180484	0.167366	0.165829	14712.439475	14544.074287	12195.03677	1.863819	12196.900589	0.838509	2440.114793	2438.722933	0.66215	0.991137	0.012071	0.140052	0.001476	268804.903827	3273.758668	0.024023	0.000253	0.373789	0.029824	101374.819443	0.005116	19285075.512912	3855975.998578	0.199946	613697.154469	3069312.664381	3130064.604626	7142620.560338	1428139.258733	19666791.513623	7283996.856898
4.591085	103.3	103.18217	1.000001	171	2174	599628.375	107911.625	40938762.875	38941.875	40801.875	0.000045	609261.115545	0.179964	0.166848	0.165325	14711.791143	14544.66541	12195.610672	1.863819	12197.47449	0.838514	2432.660995	2431.269126	0.66215	0.991221	0.012155	0.140087	0.001441	268827.651349	3296.50619	0.024029	0.000247	0.373792	0.029828	101375.469709	0.005116	19285982.935055	3844190.443498	0.199326	611821.426606	3069457.084986	3129839.014171	7142956.642613	1423774.238333	19665374.085868	7283471.883655
4.722125	103.5	103.44425	1.000001	171	2174	599957.125	107893.375	40937475.375	38934.625	40801.375	0.000045	609581.440176	0.179835	0.166719	0.1652	14704.060349	14537.310035	12188.235069	1.863819	12190.098888	0.838431	2429.555478	2428.163596	0.66215	0.99132	0.012253	0.140127	0.0014	268854.364884	3323.219725	0.024036	0.00024	0.373755	0.029845	101365.4246	0.005119	19274321.033513	3839280.149328	0.199191	611039.929636	3067601.03718	3127866.032764	7138637.41982	1421955.610862	19652977.468261	7278880.5438
4.855247	103.7375	103.710493	1.000001	171	2174	599776.125	107678.875	40936094.125	38920.125	40801	0.000045	609365.358583	0.179532	0.166417	0.164906	14709.274424	14543.193864	12194.097194	1.863819	12195.961012	0.838495	2426.137458	2424.745564	0.66215	0.991425	0.012359	0.140171	0.001357	268883.024255	3351.879096	0.024043	0.000233	0.373783	0.029835	101373.145955	0.005118	19283589.9058	3833875.742938	0.198815	610179.792326	3069076.222853	3129144.96958	7142070.335482	1419953.978866	19661013.271634	7281856.767272
4.988626	103.9875	103.977252	1.000001	171	2174	600113.25	107672.25	40935140	38935.375	40797.625	0.000045	609696.011341	0.17942	0.166306	0.164797	14701.297232	14535.552578	12186.440912	1.863819	12188.304731	0.838409	2423.236149	2421.844246	0.66215	0.991498	0.012432	0.140201	0.001326	268902.821676	3371.676516	0.024048	0.000228	0.373745	0.029852	101362.757945	0.00512	19271484.210206	3829288.33593	0.198702	609449.684403	3067149.543086	3127112.923684	7137586.744521	1418254.939233	19648245.540605	7277127.978002
